ID,Name,Description
218729C2F787B39322EDB9220D365A1F,yː,LATIN SMALL LETTER Y - MODIFIER LETTER TRIANGULAR COLON
CB37024CEAE9409F30FC756C0578E93C,æː,LATIN SMALL LETTER AE - MODIFIER LETTER TRIANGULAR COLON
106C7FE93D986D037407524D08F3599A,ts,LATIN SMALL LETTER T - LATIN SMALL LETTER S
8E32B519FFFA1D3336C36200F8060969,ã,LATIN SMALL LETTER A - COMBINING TILDE
1507B68E1E3108371C1F882C40902AA5,ẽ,LATIN SMALL LETTER E - COMBINING TILDE
EDBF780C3E6B55C0D3F719E059C630B0,ɨ̃,LATIN SMALL LETTER I WITH STROKE - COMBINING TILDE
A9F45477DAC8AB8BB14C84275ED3690F,ĩ,LATIN SMALL LETTER I - COMBINING TILDE
BD29F40254AA0996800A773122397C28,kʰ,LATIN SMALL LETTER K - MODIFIER LETTER SMALL H
DF648A2DB863191981CA66654BFF6BF4,õ,LATIN SMALL LETTER O - COMBINING TILDE
6E065D8A2F199BCBC7CA7074EC4DE834,pʰ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL H
4EEF82037BC182F6353941401E583F45,tʰ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL H
1520751621DE93DB6E03975E1867106A,ũ,LATIN SMALL LETTER U - COMBINING TILDE
7D5E23AD8E7FC92894F94CEB664FBE7C,ɐ,LATIN SMALL LETTER TURNED A
ED74AF5019F80FF5E1F4E598F0085639,ɢ,LATIN LETTER SMALL CAPITAL G
F4908317E8B8D67C64129D5DAF89C210,ɢʷ,LATIN LETTER SMALL CAPITAL G - MODIFIER LETTER SMALL W
10FD223095BD60FD89BEC828E5FD0A26,ʊ,LATIN SMALL LETTER UPSILON
24934115EB451EB20C91AC9D2AD62537,χ,GREEK SMALL LETTER CHI
09669CA25538B9D8F88FA458EF40C634,χʷʼ,GREEK SMALL LETTER CHI - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE
17B1CFA69C0C6AB5362FFDB585C0C7DC,dz,LATIN SMALL LETTER D - LATIN SMALL LETTER Z
4257BA86C575A28CFD1C21C69CDCFB5B,ɡʲ,LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL J
96CDC886AA21A9599A0AC4EFFCDCA13F,kʲ,LATIN SMALL LETTER K - MODIFIER LETTER SMALL J
4AC7382217172B3821AE54CD38BD8698,q,LATIN SMALL LETTER Q
F004A6DF8DC34AB3759000D0EEA099AC,qʼ,LATIN SMALL LETTER Q - MODIFIER LETTER APOSTROPHE
0CE464BCDDF6D25FC3C1DF3C67CE1C91,qʷ,LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W
1230081C3710A6F95C105998800A8557,qʷʼ,LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE
73C29ACCE17EFB4239E53D799AD7C696,t̠ʃʼ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER APOSTROPHE
5685FEAEF0E34B92C6562FDE7687D3DA,tɬ,LATIN SMALL LETTER T - LATIN SMALL LETTER L WITH BELT
BAC70456E8C04CEFDCAC8240DAFE192F,tsʼ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER APOSTROPHE
CFDC3D2764B7C450CAB7DFC1854E8C75,xʲ,LATIN SMALL LETTER X - MODIFIER LETTER SMALL J
3E7F3BD0FDB7AC2A82E00F8EAB935528,ɡʷʲ,LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL J
17D7E55C5AFA44912A3BE9179FDEA482,kʷʲ,LATIN SMALL LETTER K - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL J
3B1C8D8C984948EB38A2FC40CCE27AEE,xʷʲ,LATIN SMALL LETTER X - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL J
8A61A9B6039DB852CE150BEC6198AFE5,ɛ,LATIN SMALL LETTER OPEN E
55C328C4539D138964636333EABA3949,ɔ,LATIN SMALL LETTER OPEN O
B6D180EA250E6FBDE82C3D1F1BB4A39C,æ,LATIN SMALL LETTER AE
0FD087805B29DDC87A7BC2D136B0A201,rː,LATIN SMALL LETTER R - MODIFIER LETTER TRIANGULAR COLON
941A64F284E12ACB5A54580F5D22337A,ʀ,LATIN LETTER SMALL CAPITAL R
512D7E3344FCD21B1EE47971D72DB39A,ɭ,LATIN SMALL LETTER L WITH RETROFLEX HOOK
9B4FF3CA9C2C2CC0884F937ECD88C04D,ʂ,LATIN SMALL LETTER S WITH HOOK
371C7EA07921978BC3CA2823648D035D,i̝,LATIN SMALL LETTER I - COMBINING UP TACK BELOW
088F68C26E5BFD00C5C1B6FBD0C2051A,u̝,LATIN SMALL LETTER U - COMBINING UP TACK BELOW
A933E2A015DCF1AB1B946DBA04C1958C,ç,LATIN SMALL LETTER C WITH CEDILLA
CF50E15F866A7B9698A8F95C5C9B48B2,ɪ,LATIN LETTER SMALL CAPITAL I
9D6EBFB925E507CEC3D4A539BFD0BF08,ŋm,LATIN SMALL LETTER ENG - LATIN SMALL LETTER M
CFA86CE56605194A2F338BA3E3974EA3,ɓ,LATIN SMALL LETTER B WITH HOOK
192EEEA914E770D60BEC3F86DAED50AA,ɗ,LATIN SMALL LETTER D WITH HOOK
434450844FAF9386CA9AD2E0E919570E,ʄ,LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
1F27FEFCD8402C09E00300258B5A7EE2,ɡb,LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER B
A5176F73648084056F9A091440AB3FBB,ʝ,LATIN SMALL LETTER J WITH CROSSED-TAIL
3BE9D8AA68FB8CA25C1D8EE2091DC6D0,kp,LATIN SMALL LETTER K - LATIN SMALL LETTER P
033ACAA664F151FC56BC9595526BCFA4,v,LATIN SMALL LETTER V
77EC3D8708D73AC7CFC3FC00AC44CA7F,ʔj,LATIN LETTER GLOTTAL STOP - LATIN SMALL LETTER J
F39B6DB07AB1E43534CC87FF2D78D852,ǁ,LATIN LETTER LATERAL CLICK
83A378CEE6DD9D3F0A426DC5FE0C9770,ǀ,LATIN LETTER DENTAL CLICK
06C0DF57FD6F1008180AD5BB84C41B89,ǂ,LATIN LETTER ALVEOLAR CLICK
C9E9191DCB4BE4A8E656C338A0480F62,ǂ͇,LATIN LETTER ALVEOLAR CLICK - COMBINING EQUALS SIGN BELOW
D148671853EE95EA98495BB03C732921,ǁ̟,LATIN LETTER LATERAL CLICK - COMBINING PLUS SIGN BELOW
DBED9DB479620441E03A12BD24F52B18,dʰ,LATIN SMALL LETTER D - MODIFIER LETTER SMALL H
7C6A808CC61BC0BC3BB661BA6E049911,mʰ,LATIN SMALL LETTER M - MODIFIER LETTER SMALL H
59BD8976A93A1346E885CB973F12D8A9,θ̪,GREEK SMALL LETTER THETA - COMBINING BRIDGE BELOW
95A609A900A52E93F9252FD72E8D136F,ŋɡ,LATIN SMALL LETTER ENG - LATIN SMALL LETTER SCRIPT G
4E454EFC24409956D610FB858C201318,hʷ,LATIN SMALL LETTER H - MODIFIER LETTER SMALL W
3916F896B8FCC2F6FD583661E5332F28,m̥,LATIN SMALL LETTER M - COMBINING RING BELOW
8DEC1745406483DE6A8030A28A69B646,mb,LATIN SMALL LETTER M - LATIN SMALL LETTER B
6910328C2AAA6011720FA21FFE1665D8,nd,LATIN SMALL LETTER N - LATIN SMALL LETTER D
6CA1A9CAC4D088F2CB53987315A2D8BF,ɪ̃,LATIN LETTER SMALL CAPITAL I - COMBINING TILDE
6841B71E9462950C2BADD3C7301D7092,ʊ̃,LATIN SMALL LETTER UPSILON - COMBINING TILDE
795215076D89B5B17C0D147BE5C341E3,ɾ,LATIN SMALL LETTER R WITH FISHHOOK
16AE9E466BA711A463AF827D79234392,jˀ,LATIN SMALL LETTER J - MODIFIER LETTER GLOTTAL STOP
CD3A14CC41D26F33A8D7DE865AD85A4A,lˀ,LATIN SMALL LETTER L - MODIFIER LETTER GLOTTAL STOP
2B9FFCC22A7CEBAFFDD370B339E4658B,mˀ,LATIN SMALL LETTER M - MODIFIER LETTER GLOTTAL STOP
305029A5E47B37025D6251170E17C363,nˀ,LATIN SMALL LETTER N - MODIFIER LETTER GLOTTAL STOP
77D1EFA8F4C60659602EA767A1F7C9BC,wˀ,LATIN SMALL LETTER W - MODIFIER LETTER GLOTTAL STOP
D86D0E4D596E27EE93E7F9D3EB2B987F,ɘ̃,LATIN SMALL LETTER REVERSED E - COMBINING TILDE
2FBC8E9F0B18BB901EC20AACA188541E,ɨ̆,LATIN SMALL LETTER I WITH STROKE - COMBINING BREVE
C74BECEC6C9DBC95D2C92E893F72A8AD,ð,LATIN SMALL LETTER ETH
