ID,Language_ID,Parameter_ID,Value,Inventory_ID,PhonemeNotes,PhonemeNFD
74,,72FB536ACFF408163656BBCDAFCAC6F6,a,1053,NA,a
75,,2F272C9C5FA2DA70706B565B2DC46DE8,aː,1053,NA,aː
76,,694212B746622E482E0E58D50036100E,b,1053,NA,b
77,,E6253384902D489FDB1FE487B7ED4AB2,d,1053,NA,d
78,,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,1053,NA,d̠ʒ
79,,199408E3D0668F10F475143F0E8CC0CB,e,1053,NA,e
80,,6DD56E3A80E90C3B1F5AC7AC45CE8180,eː,1053,NA,eː
81,,ECC959553F23387998DAF88D69D7736C,ɡ,1053,NA,ɡ
82,,F0585BB57111C322D6E7DABB0D01F9EA,i,1053,NA,i
83,,D7A90868F42885077FD3F44A8440B3BB,iː,1053,NA,iː
84,,3A3393BDCDC64FE0B39793147F9DBA7D,ɨ,1053,NA,ɨ
85,,EA4BE781596BA71D03B0E14F300A1669,ɨː,1053,NA,ɨː
86,,ADF56B8E4119266843033E723A149AE2,j,1053,NA,j
87,,5A838FF4DABE1950734CFAFAB9383903,k,1053,NA,k
88,,03413638BD1DFC7AEF53192FEF71F017,l,1053,NA,l
89,,1C7F2960BE4EDD840C01C94930F1D932,ʎ,1053,NA,ʎ
90,,5AE9663626770D1D4B97AAE5769AB83C,m,1053,NA,m
91,,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,1053,NA,n
92,,1AD6D96C35E6ADA62F1EAF5B167F75F7,ɲ,1053,NA,ɲ
93,,5AC0158A367D59E8C16A876321E578AB,o,1053,NA,o
94,,5D97E1AF6BCE612603ABA26C7DDB941F,ø,1053,NA,ø
95,,B89019D1E9EA2633F0AAACF9E66CE673,øː,1053,NA,øː
96,,08F6CE9332919F91E699096D433AC8BB,oː,1053,NA,oː
97,,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,1053,NA,p
98,,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,1053,NA,r
99,,4FEA9B23C77E9EA34A6963E4D4FF64BA,rʲ,1053,NA,rʲ
100,,7FF174469DAC4E61520F4E1610B2F088,s,1053,NA,s
101,,9F90F95459807624A486F03FE5A89978,t,1053,NA,t
102,,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,1053,NA,t̠ʃ
103,,58EB693AE523323410326D60806B9ADF,u,1053,NA,u
104,,3A9677F59A8D4980D4DEADD51C55FF1C,uː,1053,NA,uː
105,,27E498422242BAF54775C75A8C884CF7,y,1053,NA,y
106,,218729C2F787B39322EDB9220D365A1F,yː,1053,NA,yː
107,anat1257,55F94F929CDB58CDE9BE8333787E3A31,ʕ,1018,NA,ʕ
108,anat1257,E07CB8481F97B28F2D631830F02B51F0,ɘː,1018,NA,ɘː
109,anat1257,C699D862DAE3202097065A59720E60BC,ħ,1018,NA,ħ
110,anat1257,72FB536ACFF408163656BBCDAFCAC6F6,a,1018,NA,a
111,anat1257,2F272C9C5FA2DA70706B565B2DC46DE8,aː,1018,NA,aː
112,anat1257,CB37024CEAE9409F30FC756C0578E93C,æː,1018,NA,æː
113,anat1257,694212B746622E482E0E58D50036100E,b,1018,NA,b
114,anat1257,852A220443D41F0A63671A2F4DEC9788,c,1018,NA,c
115,anat1257,E6253384902D489FDB1FE487B7ED4AB2,d,1018,NA,d
116,anat1257,320B62404207303F61B0F772296C9545,ɟ,1018,NA,ɟ
117,anat1257,199408E3D0668F10F475143F0E8CC0CB,e,1018,NA,e
118,anat1257,6DD56E3A80E90C3B1F5AC7AC45CE8180,eː,1018,NA,eː
119,anat1257,ECC959553F23387998DAF88D69D7736C,ɡ,1018,NA,ɡ
120,anat1257,B95529318452F7E00AE69C18EBE1E0F2,ɡʷ,1018,NA,ɡʷ
121,anat1257,F0585BB57111C322D6E7DABB0D01F9EA,i,1018,NA,i
122,anat1257,D7A90868F42885077FD3F44A8440B3BB,iː,1018,NA,iː
123,anat1257,ADF56B8E4119266843033E723A149AE2,j,1018,NA,j
124,anat1257,5A838FF4DABE1950734CFAFAB9383903,k,1018,NA,k
125,anat1257,AC7F42D0CB30C73616ABDC71149FEC44,kʷ,1018,NA,kʷ
126,anat1257,03413638BD1DFC7AEF53192FEF71F017,l,1018,NA,l
127,anat1257,5AE9663626770D1D4B97AAE5769AB83C,m,1018,NA,m
128,anat1257,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,1018,NA,n
129,anat1257,5AC0158A367D59E8C16A876321E578AB,o,1018,NA,o
130,anat1257,08F6CE9332919F91E699096D433AC8BB,oː,1018,NA,oː
131,anat1257,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,1018,NA,p
